folder,volume_m3,slope_deg,potential_energy_MJ,plastic_energy_MJ_front,plastic_energy_MJ_rear,sleout_energy_max_J,impact_duration_s,rcforce_force_max_N,rcforce_impulse_Ns
251210_new_batch\batch_16\N033_V5320_PE5409_49deg,5320,49,5409,762.5680200348239,629.3383253675306,22410000.0,4.846999883700001,19208251.33333333,6787546.40523387
251210_new_batch\batch_16\N034_V2987_PE2902_46deg,2987,46,2902,719.7399478729013,578.5405264125123,20790000.0,4.235001325600001,22324393.875,4900713.857536342
251210_new_batch\batch_16\N035_V1375_PE1421_51deg,1375,51,1421,384.7638655119451,165.8451183294866,10590000.0,4.0240001678,16568787.906249998,2111418.032501
251210_new_batch\batch_16\N036_V560_PE381_30deg,560,30,381,89.16375955934822,20.76625189042641,2095000.0,3.3609991074,19327292.916666664,514822.43822148367
251210_new_batch\batch_16\N037_V706_PE582_37deg,706,37,582,117.54910142898026,16.668265188148045,2732000.0,3.2500000000000004,21668080.0,759379.1449622733
251210_new_batch\batch_16\N038_V2403_PE2660_55deg,2403,55,2660,700.8544934729996,643.9132498523472,21430000.0,4.317999839800001,26659366.666666664,5029603.894389819
251210_new_batch\batch_16\N039_V2721_PE2432_41deg,2721,41,2432,366.20599972276233,532.5075478637017,16700000.0,4.3969979286,25237638.39583333,3811095.0420900094
251210_new_batch\batch_16\N040_V3867_PE3446_41deg,3867,41,3446,777.548524760967,702.3915065094108,29570000.0,5.608999729100001,31889582.08333333,6359565.105988607
251210_new_batch\batch_16\N041_V1963_PE1737_41deg,1963,41,1737,365.5838142002984,150.9725435183529,8927000.0,4.6120007038,25914042.58854,2025855.7578483196
251210_new_batch\batch_16\N042_V2804_PE2088_33deg,2804,33,2088,450.2562041416658,373.3388707825858,12770000.0,5.396000862099999,22171208.375,3677993.618062579
251210_new_batch\batch_16\N044_V4897_PE3571_32deg,4897,32,3571,767.9413425073678,688.2368902229222,30910000.0,5.8659977913,15623257.166666666,8527573.869837806
251210_new_batch\batch_16\N045_V4676_PE4088_40deg,4676,40,4088,771.2710005371944,722.2329821218981,27190000.0,4.9520013333,19778467.25,7024311.314432212
251210_new_batch\batch_16\N046_V633_PE451_31deg,633,31,451,48.91133107613147,50.75448897622981,1996000.0,4.109000205999999,27195634.666666664,666443.2596119617
